Product.Name;Well_ID_384;Row_ID_384;Col_ID_384;Target;Pathway;concentration;Library_ID
Semagacestat (LY450139);C06;C;6;Gamma-secretase;Proteases;NA;2
Temsirolimus (CCI-779, NSC 683864);C07;C;7;mTOR;Neuronal Signaling;NA;2
DAPT (GSI-IX);C08;C;8;Gamma-secretase, Beta Amyloid;Proteases;NA;2
Crizotinib (PF-02341066);C09;C;9;c-Met, ALK;Others;NA;2
ICG-001;C10;C;10;Wnt/beta-catenin;Stem Cells &  Wnt;NA;2
Brivanib (BMS-540215);C11;C;11;VEGFR, FGFR;GPCR & G Protein;NA;2
GW788388;C12;C;12;TGF-beta/Smad;TGF-beta/Smad;NA;2
U0126-EtOH;C13;C;13;MEK;Others;NA;2
S-Ruxolitinib (INCB018424);C14;C;14;JAK;JAK/STAT;NA;2
GSK690693;C15;C;15;Akt;Others;NA;2
SANT-1;C16;C;16;Smoothened;Stem Cells &  Wnt;NA;2
Brivanib Alaninate (BMS-582664);C17;C;17;VEGFR, FGFR;Others;NA;2
Ro 31-8220 Mesylate;C18;C;18;PKC;TGF-beta/Smad;NA;2
CP-724714;C19;C;19;EGFR, HER2;Protein Tyrosine Kinase;NA;2
AR-A014418;C20;C;20;GSK-3;PI3K/Akt/mTOR;NA;2
ENMD-2076;C21;C;21;Flt, Aurora Kinase, VEGFR;Angiogenesis;NA;2
STA-21;C22;C;22;STAT;JAK/STAT;NA;2
DMSO;C23;C;23;NA;NA;NA;2
DMSO;C24;C;24;NA;NA;NA;2
Amuvatinib (MP-470);D01;D;1;c-Met, c-Kit, PDGFR, Flt, c-RET;Protein Tyrosine Kinase;NA;2
GNE-7915;D02;D;2;LRRK;Autophagy;NA;2
Genistein;D03;D;3;EGFR;Protein Tyrosine Kinase;NA;2
DMSO;D04;D;4;NA;NA;NA;2
PHA-680632;D05;D;5;Aurora Kinase;Cell Cycle;NA;2
FIIN-2;D06;D;6;FGFR;Protein Tyrosine Kinase;NA;2
HMN-214;D07;D;7;PLK;Cell Cycle;NA;2
DMSO;D08;D;8;NA;NA;NA;2
Hesperadin;D09;D;9;Aurora Kinase;Cell Cycle;NA;2
ONO-4059;D10;D;10;BTK;Angiogenesis;NA;2
KRN 633;D11;D;11;VEGFR, PDGFR;Protein Tyrosine Kinase;NA;2
DMSO;D12;D;12;NA;NA;NA;2
Tie2 kinase inhibitor;D13;D;13;Tie-2;Protein Tyrosine Kinase;NA;2
AG-18;D14;D;14;EGFR;Protein Tyrosine Kinase;NA;2
KW-2449;D15;D;15;Flt, Bcr-Abl, Aurora Kinase;Angiogenesis;NA;2
DMSO;D16;D;16;NA;NA;NA;2
R406;D17;D;17;Syk, Flt;Angiogenesis;NA;2
AMG 337;D18;D;18;c-Met;Protein Tyrosine Kinase;NA;2
PP242;D19;D;19;mTOR;PI3K/Akt/mTOR;NA;2
DMSO;D20;D;20;NA;NA;NA;2
Palomid 529 (P529);D21;D;21;mTOR;PI3K/Akt/mTOR;NA;2
DMSO;D22;D;22;NA;NA;NA;2
DMSO;D23;D;23;NA;NA;NA;2
DMSO;D24;D;24;NA;NA;NA;2
Saracatinib (AZD0530);E01;E;1;Src, Bcr-Abl;Angiogenesis;NA;2
SB431542;E02;E;2;TGF-beta/Smad;Others;NA;2
PD184352 (CI-1040);E03;E;3;MEK;MAPK;NA;2
Thiazovivin;E04;E;4;ROCK;Cell Cycle;NA;2
NVP-AEW541;E05;E;5;IGF-1R;Protein Tyrosine Kinase;NA;2
Theophylline;E06;E;6;TGF-beta/Smad;TGF-beta/Smad;NA;2
VX-680 (Tozasertib, MK-0457);E07;E;7;Aurora Kinase;Endocrinology & Hormones;NA;2
CYT387;E08;E;8;JAK;JAK/STAT;NA;2
PHA-665752;E09;E;9;c-Met;Others;NA;2
NVP-BSK805 2HCl;E10;E;10;JAK;JAK/STAT;NA;2
Refametinib (RDEA119, Bay 86-9766);E11;E;11;MEK;Others;NA;2
PF-5274857;E12;E;12;Hedgehog/Smoothened;Stem Cells &  Wnt;NA;2
ZM 447439;E13;E;13;Aurora Kinase;Others;NA;2
Pirfenidone;E14;E;14;TGF-beta/Smad;TGF-beta/Smad;NA;2
JNJ-38877605;E15;E;15;c-Met;Others;NA;2
KY02111;E16;E;16;Wnt/beta-catenin;Stem Cells &  Wnt;NA;2
AG-490 (Tyrphostin B42);E17;E;17;JAK, EGFR;Others;NA;2
GF109203X;E18;E;18;PKC;TGF-beta/Smad;NA;2
TGX-221;E19;E;19;PI3K;PI3K/Akt/mTOR;NA;2
FH535;E20;E;20;Wnt/beta-catenin;Stem Cells &  Wnt;NA;2
CUDC-101;E21;E;21;HDAC, EGFR, HER2;Epigenetics;NA;2
ZM 39923 HCl;E22;E;22;JAK;JAK/STAT;NA;2
DMSO;E23;E;23;NA;NA;NA;2
DMSO;E24;E;24;NA;NA;NA;2
JNJ-7706621;F01;F;1;CDK, Aurora Kinase;Cell Cycle;NA;2
Decernotinib (VX-509);F02;F;2;JAK;JAK/STAT;NA;2
TG100-115;F03;F;3;PI3K;PI3K/Akt/mTOR;NA;2
DMSO;F04;F;4;NA;NA;NA;2
VX-745;F05;F;5;p38 MAPK;MAPK;NA;2
Bikinin;F06;F;6;GSK-3;PI3K/Akt/mTOR;NA;2
AEE788 (NVP-AEE788);F07;F;7;EGFR, Flt, VEGFR, HER2;Protein Tyrosine Kinase;NA;2
DMSO;F08;F;8;NA;NA;NA;2
BIX 02188;F09;F;9;MEK;MAPK;NA;2
CC-223;F10;F;10;mTOR;PI3K/Akt/mTOR;NA;2
AT7867;F11;F;11;Akt, S6 kinase;PI3K/Akt/mTOR;NA;2
DMSO;F12;F;12;NA;NA;NA;2
H 89 2HCl;F13;F;13;S6 Kinase;PI3K/Akt/mTOR;NA;2
CEP-32496;F14;F;14;Raf;MAPK;NA;2
RAF265 (CHIR-265);F15;F;15;Raf, VEGFR;MAPK;NA;2
DMSO;F16;F;16;NA;NA;NA;2
SGI-1776 free base;F17;F;17;Pim;JAK/STAT;NA;2
Oclacitinib;F18;F;18;JAK;JAK/STAT;NA;2
CYT387;F19;F;19;JAK;JAK/STAT;NA;2
DMSO;F20;F;20;NA;NA;NA;2
Degrasyn (WP1130);F21;F;21;DUB, Bcr-Abl;Angiogenesis;NA;2
DMSO;F22;F;22;NA;NA;NA;2
DMSO;F23;F;23;NA;NA;NA;2
DMSO;F24;F;24;NA;NA;NA;2
Selumetinib (AZD6244);G01;G;1;MEK;MAPK;NA;2
SB216763;G02;G;2;GSK-3;Others;NA;2
Dasatinib;G03;G;3;Src, Bcr-Abl, c-Kit;Angiogenesis;NA;2
GSK429286A;G04;G;4;ROCK;Cell Cycle;NA;2
Pazopanib HCl;G05;G;5;VEGFR, PDGFR, c-Kit;Protein Tyrosine Kinase;NA;2
LDE225 (NVP-LDE225,Erismodegib);G06;G;6;Smoothened;Stem Cells &  Wnt;NA;2
Y-27632 2HCl;G07;G;7;ROCK;Others;NA;2
LY2157299;G08;G;8;TGF-beta/Smad;TGF-beta/Smad;NA;2
ZSTK474;G09;G;9;PI3K;Neuronal Signaling;NA;2
TG101209;G10;G;10;Flt, JAK, c-RET;JAK/STAT;NA;2
OSI-906 (Linsitinib);G11;G;11;IGF-1R;Others;NA;2
Tofacitinib (CP-690550,Tasocitinib);G12;G;12;JAK;JAK/STAT;NA;2
GDC-0879;G13;G;13;Raf;Others;NA;2
Go 6983;G14;G;14;PKC;TGF-beta/Smad;NA;2
Triciribine;G15;G;15;Akt;Others;NA;2
BMS-833923;G16;G;16;Hedgehog/Smoothened;GPCR & G Protein;NA;2
SNS-032 (BMS-387032);G17;G;17;CDK;Others;NA;2
RepSox;G18;G;18;TGF-beta/Smad;TGF-beta/Smad;NA;2
WZ3146;G19;G;19;EGFR;Protein Tyrosine Kinase;NA;2
WIKI4;G20;G;20;Wnt/beta-catenin;Stem Cells &  Wnt;NA;2
Tivozanib (AV-951);G21;G;21;VEGFR, c-Kit, PDGFR;Protein Tyrosine Kinase;NA;2
Pacritinib (SB1518);G22;G;22;JAK;JAK/STAT;NA;2
DMSO;G23;G;23;NA;NA;NA;2
DMSO;G24;G;24;NA;NA;NA;2
CHIR-99021 (CT99021);H01;H;1;GSK-3;PI3K/Akt/mTOR;NA;2
Vacquinol-1;H02;H;2;JNK;MAPK;NA;2
MGCD-265;H03;H;3;c-Met, VEGFR, Tie-2;Protein Tyrosine Kinase;NA;2
DMSO;H04;H;4;NA;NA;NA;2
Thiazovivin;H05;H;5;ROCK;Cell Cycle;NA;2
BLZ945;H06;H;6;CSF-1R;Protein Tyrosine Kinase;NA;2
PHA-793887;H07;H;7;CDK;Cell Cycle;NA;2
DMSO;H08;H;8;NA;NA;NA;2
BIX 02189;H09;H;9;MEK;MAPK;NA;2
GSK621;H10;H;10;AMPK;PI3K/Akt/mTOR;NA;2
BMS-777607;H11;H;11;c-Met;Protein Tyrosine Kinase;NA;2
DMSO;H12;H;12;NA;NA;NA;2
TWS119;H13;H;13;GSK-3;PI3K/Akt/mTOR;NA;2
AZD5363;H14;H;14;Akt;PI3K/Akt/mTOR;NA;2
AZD1480;H15;H;15;JAK;JAK/STAT;NA;2
DMSO;H16;H;16;NA;NA;NA;2
BMS-794833;H17;H;17;c-Met, VEGFR;Protein Tyrosine Kinase;NA;2
BI-78D3;H18;H;18;JNK;MAPK;NA;2
SB590885;H19;H;19;Raf;MAPK;NA;2
DMSO;H20;H;20;NA;NA;NA;2
BKM120 (NVP-BKM120, Buparlisib);H21;H;21;PI3K;PI3K/Akt/mTOR;NA;2
DMSO;H22;H;22;NA;NA;NA;2
DMSO;H23;H;23;NA;NA;NA;2
DMSO;H24;H;24;NA;NA;NA;2
Nintedanib (BIBF 1120)_uncertain;I01;I;1;VEGFR, PDGFR, FGFR;Protein Tyrosine Kinase;NA;2
Vismodegib (GDC-0449);I02;I;2;Hedgehog, P-gp;Neuronal Signaling;NA;2
Ridaforolimus (Deforolimus, MK-8669);I03;I;3;mTOR;PI3K/Akt/mTOR;NA;2
SB525334;I04;I;4;TGF-beta/Smad;TGF-beta/Smad;NA;2
PD0325901;I05;I;5;MEK;DNA Damage;NA;2
Taladegib (LY2940680);I06;I;6;Hedgehog,Hedgehog/Smoothened;Stem Cells &  Wnt;NA;2
Enzastaurin (LY317615);I07;I;7;PKC;Neuronal Signaling;NA;2
Hesperetin;I08;I;8;Histamine Receptor;TGF-beta/Smad;NA;2
SB216763;I09;I;9;GSK-3;Others;NA;2
YO-01027;I10;I;10;Gamma-secretase;Proteases;NA;2
KU-55933 (ATM Kinase Inhibitor);I11;I;11;ATM;Others;NA;2
Sotrastaurin;I12;I;12;PKC;TGF-beta/Smad;NA;2
LY294002;I13;I;13;PI3K;Others;NA;2
CHIR-99021 (CT99021) HCl;I14;I;14;PI3K/Akt/mTOR;PI3K/Akt/mTOR;NA;2
Cabozantinib (XL184, BMS-907351);I15;I;15;VEGFR, c-Met, Flt, Tie-2, c-Kit;Others;NA;2
LGK-974;I16;I;16;Wnt/beta-catenin;Stem Cells &  Wnt;NA;2
Barasertib (AZD1152-HQPA);I17;I;17;Aurora Kinase;Others;NA;2
AZD2858;I18;I;18;GSK-3;PI3K/Akt/mTOR;NA;2
CYC116;I19;I;19;Aurora Kinase, VEGFR;Cell Cycle;NA;2
HO-3867;I20;I;20;STAT;JAK/STAT;NA;2
YM201636;I21;I;21;PI3K;PI3K/Akt/mTOR;NA;2
Wnt agonist 1;I22;I;22;Wnt/beta-catenin;Stem Cells &  Wnt;NA;2
DMSO;I23;I;23;NA;NA;NA;2
DMSO;I24;I;24;NA;NA;NA;2
PD173074;J01;J;1;FGFR, VEGFR;Angiogenesis;NA;2
G-749;J02;J;2;FLT3;Angiogenesis;NA;2
Rigosertib (ON-01910);J03;J;3;PLK;Cell Cycle;NA;2
DMSO;J04;J;4;NA;NA;NA;2
SP600125;J05;J;5;JNK;MAPK;NA;2
LFM-A13;J06;J;6;BTK;Angiogenesis;NA;2
PIK-93;J07;J;7;PI3K, VEGFR;PI3K/Akt/mTOR;NA;2
DMSO;J08;J;8;NA;NA;NA;2
AZD7762;J09;J;9;Chk;Cell Cycle;NA;2
DASA-58;J10;J;10;PKM2;Others;NA;2
PD318088;J11;J;11;MEK;MAPK;NA;2
DMSO;J12;J;12;NA;NA;NA;2
Acadesine;J13;J;13;AMPK;PI3K/Akt/mTOR;NA;2
TCS 359;J14;J;14;FLT3;Angiogenesis;NA;2
PF-4708671;J15;J;15;S6 Kinase;PI3K/Akt/mTOR;NA;2
DMSO;J16;J;16;NA;NA;NA;2
NVP-BHG712;J17;J;17;VEGFR, Src, Raf, Bcr-Abl;Protein Tyrosine Kinase;NA;2
Olmutinib (HM61713, BI 1482694);J18;J;18;EGFR;Protein Tyrosine Kinase;NA;2
Apatinib;J19;J;19;VEGFR;Protein Tyrosine Kinase;NA;2
DMSO;J20;J;20;NA;NA;NA;2
Asiatic Acid;J21;J;21;p38 MAPK;MAPK;NA;2
DMSO;J22;J;22;NA;NA;NA;2
DMSO;J23;J;23;NA;NA;NA;2
DMSO;J24;J;24;NA;NA;NA;2
Afatinib (BIBW2992)_uncertain;K01;K;1;EGFR;Protein Tyrosine Kinase;NA;2
AT9283;K02;K;2;Bcr-Abl, JAK, Aurora Kinase;Others;NA;2
Gefitinib (ZD1839);K03;K;3;EGFR;Protein Tyrosine Kinase;NA;2
LY2811376;K04;K;4;5-alpha Reductase;Proteases;NA;2
PI-103;K05;K;5;DNA-PK, PI3K, mTOR;Neuronal Signaling;NA;2
AZD1480;K06;K;6;JAK;JAK/STAT;NA;2
AC480 (BMS-599626);K07;K;7;HER2;Neuronal Signaling;NA;2
Indirubin;K08;K;8;GSK-3;PI3K/Akt/mTOR;NA;2
SB203580;K09;K;9;p38 MAPK;Transmembrane Transporters;NA;2
LY411575;K10;K;10;Gamma-secretase;Proteases;NA;2
GSK1904529A;K11;K;11;IGF-1R;Others;NA;2
WP1066;K12;K;12;JAK;JAK/STAT;NA;2
OSU-03012 (AR-12);K13;K;13;PDK-1;Others;NA;2
Tofacitinib (CP-690550) Citrate;K14;K;14;JAK;JAK/STAT;NA;2
Everolimus (RAD001);K15;K;15;mTOR;Others;NA;2
AZD1080;K16;K;16;GSK-3;PI3K/Akt/mTOR;NA;2
PLX-4720;K17;K;17;Raf;Others;NA;2
PD173955;K18;K;18;Bcr-Abl;Angiogenesis;NA;2
WZ4002;K19;K;19;EGFR;Protein Tyrosine Kinase;NA;2
GNF-5;K20;K;20;Bcr-Abl;Angiogenesis;NA;2
OSI-930;K21;K;21;c-Kit, VEGFR;Protein Tyrosine Kinase;NA;2
Oclacitinib;K22;K;22;JAK;JAK/STAT;NA;2
DMSO;K23;K;23;NA;NA;NA;2
DMSO;K24;K;24;NA;NA;NA;2
WYE-354;L01;L;1;mTOR;PI3K/Akt/mTOR;NA;2
AT13148;L02;L;2;Akt;PI3K/Akt/mTOR;NA;2
Ki8751;L03;L;3;VEGFR, c-Kit, PDGFR;Protein Tyrosine Kinase;NA;2
DMSO;L04;L;4;NA;NA;NA;2
AZD6482;L05;L;5;PI3K;PI3K/Akt/mTOR;NA;2
SB239063;L06;L;6;p38 MAPK;MAPK;NA;2
Ponatinib (AP24534);L07;L;7;Bcr-Abl, VEGFR, FGFR, PDGFR, Flt;Angiogenesis;NA;2
DMSO;L08;L;8;NA;NA;NA;2
R406 (free base);L09;L;9;Syk;Angiogenesis;NA;2
GSK2292767;L10;L;10;PI3K;PI3K/Akt/mTOR;NA;2
KU-60019;L11;L;11;ATM;DNA Damage;NA;2
DMSO;L12;L;12;NA;NA;NA;2
PF-573228;L13;L;13;FAK;Angiogenesis;NA;2
Tyrphostin AG 1296;L14;L;14;PDGFR;Protein Tyrosine Kinase;NA;2
LY2784544;L15;L;15;JAK;JAK/STAT;NA;2
DMSO;L16;L;16;NA;NA;NA;2
OSI-420;L17;L;17;EGFR;Protein Tyrosine Kinase;NA;2
7,8-Dihydroxyflavone;L18;L;18;Trk receptor;Protein Tyrosine Kinase;NA;2
CAL-101 (Idelalisib, GS-1101);L19;L;19;PI3K;PI3K/Akt/mTOR;NA;2
DMSO;L20;L;20;NA;NA;NA;2
Honokiol;L21;L;21;Akt, MEK;PI3K/Akt/mTOR;NA;2
DMSO;L22;L;22;NA;NA;NA;2
DMSO;L23;L;23;NA;NA;NA;2
DMSO;L24;L;24;NA;NA;NA;2
BMS-536924;M01;M;1;IGF-1R;Protein Tyrosine Kinase;NA;2
AG-490 (Tyrphostin B42);M02;M;2;JAK, EGFR;Others;NA;2
Imatinib Mesylate (STI571);M03;M;3;PDGFR, c-Kit, Bcr-Abl;Protein Tyrosine Kinase;NA;2
Fasudil (HA-1077) HCl;M04;M;4;ROCK;Cell Cycle;NA;2
Rapamycin (Sirolimus);M05;M;5;mTOR;DNA Damage;NA;2
LY2784544;M06;M;6;JAK;JAK/STAT;NA;2
Masitinib (AB1010);M07;M;7;c-Kit, PDGFR, FGFR, FAK;Others;NA;2
Quercetin;M08;M;8;PI3K, PKC, Src, Sirtuin;Epigenetics;NA;2
SB202190 (FHPI);M09;M;9;p38 MAPK;PI3K/Akt/mTOR;NA;2
SB415286;M10;M;10;GSK-3;PI3K/Akt/mTOR;NA;2
PF-04217903;M11;M;11;c-Met;Others;NA;2
CEP-33779;M12;M;12;JAK;JAK/STAT;NA;2
Danusertib (PHA-739358);M13;M;13;Aurora Kinase, FGFR, Bcr-Abl, c-RET, Src;Others;NA;2
XL019;M14;M;14;JAK;JAK/STAT;NA;2
BMS-754807;M15;M;15;IGF-1R;Others;NA;2
1-Azakenpaullone;M16;M;16;GSK-3;PI3K/Akt/mTOR;NA;2
Roscovitine (Seliciclib,CYC202);M17;M;17;CDK;Others;NA;2
IWP-L6;M18;M;18;Wnt/beta-catenin;Stem Cells &  Wnt;NA;2
PD98059;M19;M;19;MEK;MAPK;NA;2
Decernotinib (VX-509);M20;M;20;JAK;JAK/STAT;NA;2
KU-0063794;M21;M;21;mTOR;PI3K/Akt/mTOR;NA;2
PRI-724;M22;M;22;Wnt/beta-catenin;Stem Cells &  Wnt;NA;2
DMSO;M23;M;23;NA;NA;NA;2
DMSO;M24;M;24;NA;NA;NA;2
Vemurafenib (PLX4032, RG7204);N01;N;1;Raf;MAPK;NA;2
WH-4-023;N02;N;2;Src;Angiogenesis;NA;2
Ruxolitinib (INCB018424);N03;N;3;JAK;JAK/STAT;NA;2
DMSO;N04;N;4;NA;NA;NA;2
TSU-68 (SU6668, Orantinib);N05;N;5;VEGFR, PDGFR , FGFR;Protein Tyrosine Kinase;NA;2
ANA-12;N06;N;6;Trk receptor;Protein Tyrosine Kinase;NA;2
SAR245409 (XL765);N07;N;7;PI3K, mTOR;PI3K/Akt/mTOR;NA;2
DMSO;N08;N;8;NA;NA;NA;2
CP-673451;N09;N;9;PDGFR;Protein Tyrosine Kinase;NA;2
STA-21;N10;N;10;STAT;JAK/STAT;NA;2
BS-181 HCl;N11;N;11;CDK;Cell Cycle;NA;2
DMSO;N12;N;12;NA;NA;NA;2
BMS-265246;N13;N;13;CDK;Cell Cycle;NA;2
NSC 23766;N14;N;14;Rac;Cell Cycle;NA;2
AST-1306;N15;N;15;EGFR;Protein Tyrosine Kinase;NA;2
DMSO;N16;N;16;NA;NA;NA;2
PIK-293;N17;N;17;PI3K;PI3K/Akt/mTOR;NA;2
LY3023414;N18;N;18;Akt;PI3K/Akt/mTOR;NA;2
PIK-294;N19;N;19;PI3K;PI3K/Akt/mTOR;NA;2
DMSO;N20;N;20;NA;NA;NA;2
Indirubin;N21;N;21;GSK-3;PI3K/Akt/mTOR;NA;2
DMSO;N22;N;22;NA;NA;NA;2
DMSO;N23;N;23;NA;NA;NA;2
DMSO;N24;N;24;NA;NA;NA;2
Bosutinib (SKI-606);O01;O;1;Src;Angiogenesis;NA;2
XAV-939;O02;O;2;Wnt/beta-catenin;Stem Cells &  Wnt;NA;2
Lapatinib (GW-572016) Ditosylate;O03;O;3;EGFR, HER2;Protein Tyrosine Kinase;NA;2
RO4929097;O04;O;4;Y-Secretase;Proteases;NA;2
Sorafenib Tosylate;O05;O;5;VEGFR, PDGFR, Raf;Neuronal Signaling;NA;2
SB505124;O06;O;6;TGF-beta/Smad;TGF-beta/Smad;NA;2
GDC-0941;O07;O;7;PI3K;Metabolism;NA;2
Astragaloside A;O08;O;8;others;TGF-beta/Smad;NA;2
MK-2206 2HCl;O09;O;9;Akt;Others;NA;2
TG101348 (SAR302503);O10;O;10;JAK;JAK/STAT;NA;2
MLN8054;O11;O;11;Aurora Kinase;Others;NA;2
Baricitinib (LY3009104, INCB028050);O12;O;12;JAK;Epigenetics;NA;2
BI 2536;O13;O;13;PLK;Others;NA;2
Wnt-C59 (C59);O14;O;14;Wnt/beta-catenin;Stem Cells &  Wnt;NA;2
Alisertib (MLN8237);O15;O;15;Aurora Kinase;Others;NA;2
RKI-1447;O16;O;16;ROCK;Cell Cycle;NA;2
SNS-314 Mesylate;O17;O;17;Aurora Kinase;Others;NA;2
SH-4-54;O18;O;18;STAT;JAK/STAT;NA;2
Regorafenib (BAY 73-4506);O19;O;19;c-Kit, Raf, VEGFR;Protein Tyrosine Kinase;NA;2
IM-12;O20;O;20;GSK-3;PI3K/Akt/mTOR;NA;2
Flavopiridol (Alvocidib);O21;O;21;CDK;Cell Cycle;NA;2
DMSO;O22;O;22;NA;NA;NA;2
DMSO;O23;O;23;NA;NA;NA;2
DMSO;O24;O;24;NA;NA;NA;2
BX-795;P01;P;1;PDK-1, IKK;PI3K/Akt/mTOR;NA;2
IM-12;P02;P;2;GSK-3;PI3K/Akt/mTOR;NA;2
Pelitinib (EKB-569);P03;P;3;EGFR;Protein Tyrosine Kinase;NA;2
DMSO;P04;P;4;NA;NA;NA;2
GSK429286A;P05;P;5;ROCK;Cell Cycle;NA;2
Ro-3306;P06;P;6;CDK;Cell Cycle;NA;2
AT7519;P07;P;7;CDK;Cell Cycle;NA;2
DMSO;P08;P;8;NA;NA;NA;2
AZD8055;P09;P;9;mTOR;PI3K/Akt/mTOR;NA;2
ETC-1002;P10;P;10;AMPK;PI3K/Akt/mTOR;NA;2
Fasudil (HA-1077) HCl;P11;P;11;ROCK;Cell Cycle;NA;2
DMSO;P12;P;12;NA;NA;NA;2
Lapatinib;P13;P;13;EGFR, HER2;Protein Tyrosine Kinase;NA;2
PRT062607 (P505-15, BIIB057) HCl;P14;P;14;Syk;Angiogenesis;NA;2
AZD8931 (Sapitinib);P15;P;15;EGFR, HER2;Protein Tyrosine Kinase;NA;2
DMSO;P16;P;16;NA;NA;NA;2
AZ 960;P17;P;17;JAK;JAK/STAT;NA;2
DMSO;P18;P;18;NA;NA;NA;2
Telatinib;P19;P;19;VEGFR, PDGFR, c-Kit;Protein Tyrosine Kinase;NA;2
DMSO;P20;P;20;NA;NA;NA;2
Quercetin;P21;P;21;PI3K, PKC, Src, Sirtuin;Epigenetics;NA;2
DMSO;P22;P;22;NA;NA;NA;2
DMSO;P23;P;23;NA;NA;NA;2
DMSO;P24;P;24;NA;NA;NA;2
Chrysophanic Acid;A01;A;1;EGFR, mTOR;Protein Tyrosine Kinase;NA;3
Anacardic Acid;A02;A;2;Histone Acetyltransferase;Epigenetics;NA;3
LY2603618;A03;A;3;Chk;Cell Cycle;NA;3
DMSO;A04;A;4;NA;NA;NA;3
PF-00562271;A05;A;5;FAK;Angiogenesis;NA;3
SC1;A06;A;6;ERK;MAPK;NA;3
R547;A07;A;7;CDK;Cell Cycle;NA;3
DMSO;A08;A;8;NA;NA;NA;3
TAK-901;A09;A;9;Aurora Kinase;Cell Cycle;NA;3
PLX7904;A10;A;10;Raf;MAPK;NA;3
TG101348 (SAR302503);A11;A;11;JAK;JAK/STAT;NA;3
DMSO;A12;A;12;NA;NA;NA;3
