Drug;Line;Pathway;Target;Enriched.Target;is.pathway.enriched;is.target.enriched
GZD824;D007T01;Angiogenesis;Bcr-Abl;NA;FALSE;FALSE
HMN-214;D007T01;Cell Cycle;PLK;NA;FALSE;FALSE
HS-173;D007T01;PI3K/Akt/mTOR;PI3K;NA;TRUE;FALSE
Ibrutinib (PCI-32765);D007T01;Angiogenesis;Src;src;FALSE;TRUE
IMD 0354;D007T01;NF-_B;IKK;NA;FALSE;FALSE
INK 128 (MLN0128);D007T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
Irinotecan / SN-38__0.2;D007T01;NA;TOP1MT;NA;FALSE;FALSE
Irinotecan / SN-38__1.0;D007T01;NA;TOP1MT;NA;FALSE;FALSE
JNJ-7706621;D007T01;Cell Cycle;CDK, Aurora Kinase;cdk;FALSE;TRUE
JNK Inhibitor IX;D007T01;MAPK;JNK;NA;FALSE;FALSE
KW-2449;D007T01;Angiogenesis;Flt, Bcr-Abl, Aurora Kinase;NA;FALSE;FALSE
KX2-391;D007T01;Angiogenesis;Src;NA;FALSE;FALSE
LDC000067;D007T01;Cell Cycle;CDK;cdk;FALSE;TRUE
LY2090314;D007T01;PI3K/Akt/mTOR;GSK-3;gsk-3;TRUE;TRUE
LY2603618;D007T01;Cell Cycle;Chk;chk;TRUE;TRUE
LY2835219;D007T01;Cell Cycle;CDK;NA;FALSE;FALSE
LY3023414;D007T01;PI3K/Akt/mTOR;Akt;akt;TRUE;TRUE
MEK162 (ARRY-162, ARRY-438162);D007T01;MAPK;MEK;NA;FALSE;FALSE
Milciclib (PHA-848125);D007T01;Cell Cycle;CDK;NA;FALSE;FALSE
MLN2480;D007T01;MAPK;Raf;NA;FALSE;FALSE
Mubritinib (TAK 165);D007T01;Protein Tyrosine Kinase;HER2;NA;FALSE;FALSE
OSI-027;D007T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
OSI-420;D007T01;Protein Tyrosine Kinase;EGFR;egfr;TRUE;TRUE
P276-00;D007T01;Cell Cycle;CDK;cdk;FALSE;TRUE
Pacritinib (SB1518);D007T01;JAK/STAT;JAK;NA;FALSE;FALSE
PD0325901;D007T01;DNA Damage;MEK;mek;FALSE;TRUE
PD318088;D007T01;MAPK;MEK;NA;FALSE;FALSE
Pelitinib (EKB-569);D007T01;Protein Tyrosine Kinase;EGFR;egfr;TRUE;TRUE
PF-00562271;D007T01;Angiogenesis;FAK;NA;FALSE;FALSE
PF-04691502;D007T01;PI3K/Akt/mTOR;mTOR, PI3K, Akt;mtor;TRUE;TRUE
PF-3758309;D007T01;Cytoskeletal Signaling;PAK;NA;FALSE;FALSE
PF-431396;D007T01;Angiogenesis;FAK;NA;FALSE;FALSE
PF-477736;D007T01;Cell Cycle;Chk;chk;TRUE;TRUE
PF-543;D007T01;GPCR & G Protein;SphK1;NA;FALSE;FALSE
PF-562271;D007T01;Angiogenesis;FAK;NA;FALSE;FALSE
PHA-767491;D007T01;Cell Cycle;CDK;cdk;TRUE;TRUE
PHA-793887;D007T01;Cell Cycle;CDK;NA;FALSE;FALSE
PIK-93;D007T01;PI3K/Akt/mTOR;PI3K, VEGFR;NA;FALSE;FALSE
Pimasertib (AS-703026);D007T01;MAPK;MEK;mek;TRUE;TRUE
PP121;D007T01;Protein Tyrosine Kinase;DNA-PK, mTOR, PDGF;NA;FALSE;FALSE
PP242;D007T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
R547;D007T01;Cell Cycle;CDK;cdk;FALSE;TRUE
RAF265 (CHIR-265);D007T01;MAPK;Raf, VEGFR;NA;FALSE;FALSE
Refametinib (RDEA119, Bay 86-9766);D007T01;Others;MEK;mek;FALSE;TRUE
Rigosertib (ON-01910);D007T01;Cell Cycle;PLK;plk;TRUE;TRUE
Ro 31-8220 Mesylate;D007T01;TGF-beta/Smad;PKC;NA;TRUE;FALSE
Ro3280;D007T01;Cell Cycle;PLK;plk;TRUE;TRUE
Saracatinib (AZD0530);D007T01;Angiogenesis;Src, Bcr-Abl;src;FALSE;TRUE
SC1;D007T01;MAPK;ERK;NA;FALSE;FALSE
Selumetinib (AZD6244);D007T01;MAPK;MEK;mek;TRUE;TRUE
SGI-7079;D007T01;Protein Tyrosine Kinase;VEGFR;NA;FALSE;FALSE
SNS-032 (BMS-387032);D007T01;Others;CDK;cdk;FALSE;TRUE
Staurosporine_500nM;D007T01;NA;NA;NA;FALSE;FALSE
TAK-733;D007T01;MAPK;MEK;NA;FALSE;FALSE
Tepotinib (EMD 1214063);D007T01;Protein Tyrosine Kinase;c-Met;NA;FALSE;FALSE
Torin 2;D007T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
Trametinib (GSK1120212);D007T01;MAPK;MEK;NA;FALSE;FALSE
Triciribine;D007T01;Others;Akt;NA;FALSE;FALSE
Tyrphostin 9;D007T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
VE-822;D007T01;PI3K/Akt/mTOR;ATM, ATR;atm;TRUE;TRUE
VPS34-IN1;D007T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
VS-5584 (SB2343);D007T01;PI3K/Akt/mTOR;PI3K;pi3k;TRUE;TRUE
WH-4-023;D007T01;Angiogenesis;Src;NA;FALSE;FALSE
Wnt agonist 1;D007T01;Stem Cells &  Wnt;Wnt, beta-catenin;NA;FALSE;FALSE
ZM 306416;D007T01;Protein Tyrosine Kinase;VEGFR;NA;TRUE;FALSE
ZSTK474;D007T01;Neuronal Signaling;PI3K;NA;FALSE;FALSE
1-Azakenpaullone;D055T01;PI3K/Akt/mTOR;GSK-3;gsk-3;TRUE;TRUE
A-674563;D055T01;PI3K/Akt/mTOR;Akt, CDK, PKA;cdk;FALSE;TRUE
A66;D055T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
AEE788 (NVP-AEE788);D055T01;Protein Tyrosine Kinase;EGFR, Flt, VEGFR, HER2;NA;FALSE;FALSE
AG-1024;D055T01;Protein Tyrosine Kinase;IGF-1R;NA;FALSE;FALSE
Akti-1/2;D055T01;PI3K/Akt/mTOR;Akt;akt;FALSE;TRUE
Alisertib (MLN8237);D055T01;Others;Aurora Kinase;aurora kinase;FALSE;TRUE
AMG-900;D055T01;Cell Cycle;Aurora Kinase;aurora kinase;FALSE;TRUE
AP26113;D055T01;Protein Tyrosine Kinase;ALK;NA;FALSE;FALSE
AT7519;D055T01;Cell Cycle;CDK;NA;FALSE;FALSE
AT7867;D055T01;PI3K/Akt/mTOR;Akt, S6 kinase;NA;FALSE;FALSE
AT9283;D055T01;Others;Bcr-Abl, JAK, Aurora Kinase;jak;FALSE;TRUE
Axitinib;D055T01;Protein Tyrosine Kinase;VEGFR, PDGFR, c-Kit;pdgfr;FALSE;TRUE
AZ 960;D055T01;JAK/STAT;JAK;NA;FALSE;FALSE
AZ20;D055T01;PI3K/Akt/mTOR;ATM, ATR;NA;FALSE;FALSE
AZD1080;D055T01;PI3K/Akt/mTOR;GSK-3;gsk-3;TRUE;TRUE
AZD1480;D055T01;JAK/STAT;JAK;NA;FALSE;FALSE
AZD2014;D055T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
AZD2858;D055T01;PI3K/Akt/mTOR;GSK-3;NA;FALSE;FALSE
AZD3463;D055T01;Protein Tyrosine Kinase;ALK;NA;FALSE;FALSE
AZD5363;D055T01;PI3K/Akt/mTOR;Akt;akt;TRUE;TRUE
AZD5438;D055T01;Cell Cycle;CDK;NA;FALSE;FALSE
AZD6738;D055T01;PI3K/Akt/mTOR;ATM, ATR;NA;FALSE;FALSE
AZD7762;D055T01;Cell Cycle;Chk;NA;TRUE;FALSE
AZD8055;D055T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
AZD8330;D055T01;MAPK;MEK;mek;TRUE;TRUE
Barasertib (AZD1152-HQPA);D055T01;Others;Aurora Kinase;NA;FALSE;FALSE
BGT226 (NVP-BGT226);D055T01;PI3K/Akt/mTOR;PI3K, mTOR;NA;FALSE;FALSE
BI 2536;D055T01;Others;PLK;NA;FALSE;FALSE
BKM120 (NVP-BKM120, Buparlisib);D055T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
BMS-536924;D055T01;Protein Tyrosine Kinase;IGF-1R;igf-1r;FALSE;TRUE
BMS-754807;D055T01;Others;IGF-1R;igf-1r;FALSE;TRUE
Bortezomib__0.2;D055T01;NA;PSMB1;NA;FALSE;FALSE
Bortezomib__1.0;D055T01;NA;PSMB1;NA;FALSE;FALSE
Bosutinib (SKI-606);D055T01;Angiogenesis;Src;src;TRUE;TRUE
CC-223;D055T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
CCT128930;D055T01;PI3K/Akt/mTOR;Akt;akt;FALSE;TRUE
CH5132799;D055T01;PI3K/Akt/mTOR;PI3K, mTOR;mtor;TRUE;TRUE
CHIR-124;D055T01;Cell Cycle;Chk;NA;TRUE;FALSE
CHIR-98014;D055T01;PI3K/Akt/mTOR;GSK-3;gsk-3;TRUE;TRUE
CHIR-99021 (CT99021);D055T01;PI3K/Akt/mTOR;GSK-3;gsk-3;TRUE;TRUE
CHIR-99021 (CT99021) HCl;D055T01;PI3K/Akt/mTOR;PI3K, Akt, mTOR;akt;TRUE;TRUE
Cobimetinib (GDC-0973, RG7420);D055T01;MAPK;MEK;mek;TRUE;TRUE
CP-673451;D055T01;Protein Tyrosine Kinase;PDGFR;NA;FALSE;FALSE
Crenolanib (CP-868596);D055T01;Protein Tyrosine Kinase;PDGFR;pdgfr;FALSE;TRUE
Crizotinib (PF-02341066);D055T01;Others;c-Met, ALK;NA;FALSE;FALSE
CUDC-101;D055T01;Epigenetics;HDAC, EGFR, HER2;NA;FALSE;FALSE
CUDC-907;D055T01;Cytoskeletal Signaling;HDAC, PI3K;NA;FALSE;FALSE
Danusertib (PHA-739358);D055T01;Others;Aurora Kinase, FGFR, Bcr-Abl, c-RET, Src;aurora kinase;FALSE;TRUE
Dasatinib;D055T01;Angiogenesis;Src, Bcr-Abl, c-Kit;bcr-abl;TRUE;TRUE
Dinaciclib (SCH727965);D055T01;Cell Cycle;CDK;cdk;TRUE;TRUE
Dovitinib (TKI-258, CHIR-258);D055T01;Angiogenesis;c-Kit, FGFR, Flt, VEGFR, PDGFR;pdgfr;FALSE;TRUE
Dovitinib (TKI-258) Dilactic Acid;D055T01;Angiogenesis;Flt, FGFR, PDGFR, VEGFR, c-Kit;pdgfr;TRUE;TRUE
ENMD-2076;D055T01;Angiogenesis;Flt, Aurora Kinase, VEGFR;aurora kinase;TRUE;TRUE
ERK5-IN-1;D055T01;MAPK;ERK;NA;FALSE;FALSE
Everolimus (RAD001);D055T01;Others;mTOR;mtor;FALSE;TRUE
FH535;D055T01;Stem Cells &  Wnt;Wnt, beta-catenin;NA;FALSE;FALSE
Flavopiridol (Alvocidib);D055T01;Cell Cycle;CDK;cdk;TRUE;TRUE
Flavopiridol HCl;D055T01;Cell Cycle;CDK;cdk;TRUE;TRUE
Foretinib (GSK1363089);D055T01;Others;c-Met, VEGFR;vegfr;FALSE;TRUE
Fostamatinib (R788);D055T01;Angiogenesis;Syk;NA;TRUE;FALSE
FRAX597;D055T01;Cytoskeletal Signaling;PAK;NA;FALSE;FALSE
GDC-0068;D055T01;PI3K/Akt/mTOR;Akt;NA;TRUE;FALSE
GDC-0349;D055T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
GDC-0980 (RG7422);D055T01;PI3K/Akt/mTOR;mTOR, PI3K;mtor;TRUE;TRUE
GF109203X;D055T01;TGF-beta/Smad;PKC;pkc;TRUE;TRUE
Go 6983;D055T01;TGF-beta/Smad;PKC;pkc;TRUE;TRUE
Golvatinib (E7050);D055T01;Protein Tyrosine Kinase;c-Met, VEGFR;NA;FALSE;FALSE
GSK1838705A;D055T01;Protein Tyrosine Kinase;IGF-1, ALK;NA;FALSE;FALSE
GSK2126458 (GSK458);D055T01;PI3K/Akt/mTOR;PI3K, mTOR;NA;FALSE;FALSE
GSK2292767;D055T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
GSK2334470;D055T01;PI3K/Akt/mTOR;PDK-1;NA;FALSE;FALSE
GSK461364;D055T01;Cell Cycle;PLK;NA;FALSE;FALSE
GSK690693;D055T01;Others;Akt;akt;FALSE;TRUE
GZD824;D055T01;Angiogenesis;Bcr-Abl;bcr-abl;TRUE;TRUE
Hesperadin;D055T01;Cell Cycle;Aurora Kinase;aurora kinase;FALSE;TRUE
HMN-214;D055T01;Cell Cycle;PLK;NA;FALSE;FALSE
HS-173;D055T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
HTH-01-015;D055T01;PI3K/Akt/mTOR;AMPK;NA;FALSE;FALSE
IKK-16 (IKK Inhibitor VII);D055T01;NF-_B;IKK;NA;FALSE;FALSE
IMD 0354;D055T01;NF-_B;IKK;NA;FALSE;FALSE
INK 128 (MLN0128);D055T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
Irinotecan / SN-38__0.2;D055T01;NA;TOP1MT;NA;FALSE;FALSE
Irinotecan / SN-38__1.0;D055T01;NA;TOP1MT;NA;FALSE;FALSE
JNJ-7706621;D055T01;Cell Cycle;CDK, Aurora Kinase;NA;FALSE;FALSE
JNK Inhibitor IX;D055T01;MAPK;JNK;NA;FALSE;FALSE
JNK-IN-8;D055T01;MAPK;JNK;NA;FALSE;FALSE
KU-0063794;D055T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
KW-2449;D055T01;Angiogenesis;Flt, Bcr-Abl, Aurora Kinase;aurora kinase;FALSE;TRUE
KX2-391;D055T01;Angiogenesis;Src;NA;FALSE;FALSE
LDC000067;D055T01;Cell Cycle;CDK;NA;FALSE;FALSE
LDK378;D055T01;Protein Tyrosine Kinase;ALK;NA;FALSE;FALSE
LY2090314;D055T01;PI3K/Akt/mTOR;GSK-3;NA;FALSE;FALSE
LY2603618;D055T01;Cell Cycle;Chk;NA;FALSE;FALSE
LY2835219;D055T01;Cell Cycle;CDK;NA;FALSE;FALSE
LY3023414;D055T01;PI3K/Akt/mTOR;Akt;NA;FALSE;FALSE
MEK162 (ARRY-162, ARRY-438162);D055T01;MAPK;MEK;NA;FALSE;FALSE
Milciclib (PHA-848125);D055T01;Cell Cycle;CDK;NA;TRUE;FALSE
MK-2206 2HCl;D055T01;Others;Akt;akt;FALSE;TRUE
MK-5108 (VX-689);D055T01;Cell Cycle;Aurora Kinase;aurora kinase;FALSE;TRUE
MK-8745;D055T01;Cell Cycle;Aurora Kinase;aurora kinase;FALSE;TRUE
Mubritinib (TAK 165);D055T01;Protein Tyrosine Kinase;HER2;NA;FALSE;FALSE
NVP-AEW541;D055T01;Protein Tyrosine Kinase;IGF-1R;igf-1r;FALSE;TRUE
NVP-BHG712;D055T01;Protein Tyrosine Kinase;VEGFR, Src, Raf, Bcr-Abl;NA;FALSE;FALSE
OSI-027;D055T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
OSI-906 (Linsitinib);D055T01;Others;IGF-1R;NA;FALSE;FALSE
P276-00;D055T01;Cell Cycle;CDK;cdk;TRUE;TRUE
Pacritinib (SB1518);D055T01;JAK/STAT;JAK;jak;TRUE;TRUE
Pazopanib;D055T01;Protein Tyrosine Kinase;VEGFR;NA;FALSE;FALSE
PD0325901;D055T01;DNA Damage;MEK;mek;FALSE;TRUE
PD173955;D055T01;Angiogenesis;Bcr-Abl;bcr-abl;TRUE;TRUE
PD184352 (CI-1040);D055T01;MAPK;MEK;NA;FALSE;FALSE
PD318088;D055T01;MAPK;MEK;NA;FALSE;FALSE
Pelitinib (EKB-569);D055T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
PF-00562271;D055T01;Angiogenesis;FAK;NA;FALSE;FALSE
PF-3758309;D055T01;Cytoskeletal Signaling;PAK;NA;FALSE;FALSE
PF-431396;D055T01;Angiogenesis;FAK;NA;FALSE;FALSE
PF-4708671;D055T01;PI3K/Akt/mTOR;S6 Kinase;NA;FALSE;FALSE
PF-477736;D055T01;Cell Cycle;Chk;NA;FALSE;FALSE
PF-543;D055T01;GPCR & G Protein;SphK1;NA;FALSE;FALSE
PF-562271;D055T01;Angiogenesis;FAK;NA;FALSE;FALSE
PF-573228;D055T01;Angiogenesis;FAK;NA;FALSE;FALSE
PHA-680632;D055T01;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
PHA-767491;D055T01;Cell Cycle;CDK;cdk;TRUE;TRUE
PHA-793887;D055T01;Cell Cycle;CDK;NA;FALSE;FALSE
PIK-93;D055T01;PI3K/Akt/mTOR;PI3K, VEGFR;NA;TRUE;FALSE
Pimasertib (AS-703026);D055T01;MAPK;MEK;mek;TRUE;TRUE
PP1;D055T01;Angiogenesis;Src;NA;TRUE;FALSE
PP121;D055T01;Protein Tyrosine Kinase;DNA-PK, mTOR, PDGF;NA;FALSE;FALSE
PP2;D055T01;Angiogenesis;Src;NA;TRUE;FALSE
PP242;D055T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
PRT062607 (P505-15, BIIB057) HCl;D055T01;Angiogenesis;Syk;NA;TRUE;FALSE
R547;D055T01;Cell Cycle;CDK;NA;TRUE;FALSE
RAF265 (CHIR-265);D055T01;MAPK;Raf, VEGFR;NA;TRUE;FALSE
Refametinib (RDEA119, Bay 86-9766);D055T01;Others;MEK;mek;FALSE;TRUE
Ridaforolimus (Deforolimus, MK-8669);D055T01;PI3K/Akt/mTOR;mTOR;mtor;FALSE;TRUE
Rigosertib (ON-01910);D055T01;Cell Cycle;PLK;NA;FALSE;FALSE
Ro 31-8220 Mesylate;D055T01;TGF-beta/Smad;PKC;NA;FALSE;FALSE
Ro3280;D055T01;Cell Cycle;PLK;NA;TRUE;FALSE
Saracatinib (AZD0530);D055T01;Angiogenesis;Src, Bcr-Abl;bcr-abl;TRUE;TRUE
SC1;D055T01;MAPK;ERK;erk;TRUE;TRUE
Selumetinib (AZD6244);D055T01;MAPK;MEK;NA;FALSE;FALSE
SGI-7079;D055T01;Protein Tyrosine Kinase;VEGFR;NA;FALSE;FALSE
SNS-032 (BMS-387032);D055T01;Others;CDK;cdk;FALSE;TRUE
Sotrastaurin;D055T01;TGF-beta/Smad;PKC;pkc;TRUE;TRUE
Staurosporine_500nM;D055T01;NA;NA;NA;FALSE;FALSE
SU9516;D055T01;Cell Cycle;CDK;NA;FALSE;FALSE
TAE226 (NVP-TAE226);D055T01;Angiogenesis;FAK;NA;FALSE;FALSE
TAK-632;D055T01;MAPK;Raf;NA;FALSE;FALSE
TAK-733;D055T01;MAPK;MEK;NA;FALSE;FALSE
TAK-901;D055T01;Cell Cycle;Aurora Kinase;aurora kinase;FALSE;TRUE
Temsirolimus (CCI-779, NSC 683864);D055T01;Neuronal Signaling;mTOR;mtor;FALSE;TRUE
Tepotinib (EMD 1214063);D055T01;Protein Tyrosine Kinase;c-Met;NA;FALSE;FALSE
TG101209;D055T01;JAK/STAT;Flt, JAK, c-RET;jak;TRUE;TRUE
TG101348 (SAR302503);D055T01;JAK/STAT;JAK;jak;TRUE;TRUE
Tivantinib (ARQ 197);D055T01;Protein Tyrosine Kinase;c-Met;NA;FALSE;FALSE
Torin 2;D055T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
TPCA-1;D055T01;NF-_B;IKK;NA;FALSE;FALSE
Trametinib (GSK1120212);D055T01;MAPK;MEK;NA;TRUE;FALSE
Tyrphostin 9;D055T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
Ulixertinib (BVD-523, VRT752271);D055T01;MAPK;ERK;erk;TRUE;TRUE
Uprosertib (GSK2141795);D055T01;PI3K/Akt/mTOR;Akt;akt;TRUE;TRUE
VE-822;D055T01;PI3K/Akt/mTOR;ATM, ATR;NA;FALSE;FALSE
VPS34-IN1;D055T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
VS-5584 (SB2343);D055T01;PI3K/Akt/mTOR;PI3K;NA;TRUE;FALSE
VX-11e;D055T01;MAPK;ERK;erk;TRUE;TRUE
VX-680 (Tozasertib, MK-0457);D055T01;Endocrinology & Hormones;Aurora Kinase;NA;FALSE;FALSE
WAY-600;D055T01;PI3K/Akt/mTOR;mTOR;mtor;FALSE;TRUE
Wnt agonist 1;D055T01;Stem Cells &  Wnt;Wnt, beta-catenin;NA;FALSE;FALSE
WYE-125132 (WYE-132);D055T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
XMD8-92;D055T01;MAPK;ERK;NA;FALSE;FALSE
YM201636;D055T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
ZM 447439;D055T01;Others;Aurora Kinase;aurora kinase;FALSE;TRUE
A-674563;D004T01;PI3K/Akt/mTOR;Akt, CDK, PKA;NA;FALSE;FALSE
Alisertib (MLN8237);D004T01;Others;Aurora Kinase;aurora kinase;FALSE;TRUE
AMG-900;D004T01;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
AP26113;D004T01;Protein Tyrosine Kinase;ALK;alk;FALSE;TRUE
AT7519;D004T01;Cell Cycle;CDK;cdk;FALSE;TRUE
AT9283;D004T01;Others;Bcr-Abl, JAK, Aurora Kinase;jak;FALSE;TRUE
AZ 960;D004T01;JAK/STAT;JAK;NA;FALSE;FALSE
AZ20;D004T01;PI3K/Akt/mTOR;ATM, ATR;NA;FALSE;FALSE
AZD1080;D004T01;PI3K/Akt/mTOR;GSK-3;gsk-3;TRUE;TRUE
AZD1480;D004T01;JAK/STAT;JAK;NA;FALSE;FALSE
AZD2014;D004T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
AZD2858;D004T01;PI3K/Akt/mTOR;GSK-3;NA;FALSE;FALSE
AZD3463;D004T01;Protein Tyrosine Kinase;ALK;alk;FALSE;TRUE
AZD5363;D004T01;PI3K/Akt/mTOR;Akt;NA;TRUE;FALSE
AZD5438;D004T01;Cell Cycle;CDK;cdk;TRUE;TRUE
AZD6738;D004T01;PI3K/Akt/mTOR;ATM, ATR;NA;FALSE;FALSE
AZD7762;D004T01;Cell Cycle;Chk;NA;FALSE;FALSE
AZD8055;D004T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
AZD8330;D004T01;MAPK;MEK;mek;TRUE;TRUE
AZD9291;D004T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
