Catalog Number;Product.Name;concentration;group;line;Row;Col;Well_ID_384
NA;Bleomycin;-3;drug;white;D;5;D05
NA;Staurosporine_500nM;NA;PosCTRL;black;D;6;D06
NA;5-FU;-3;drug;white;D;7;D07
NA;Gefitinib;-3;drug;black;D;8;D08
NA;Gemcitabine;1;drug;white;D;9;D09
NA;5-FU;-3;drug;black;D;10;D10
NA;H2O;NA;NegCTRL;white;D;11;D11
NA;Panobinostat;-3;drug;black;D;12;D12
NA;Gemcitabine;9;drug;white;D;13;D13
NA;Everolimus;9;drug;black;D;14;D14
NA;DMSO;NA;NegCTRL;white;D;15;D15
NA;Panobinostat;-9;drug;black;D;16;D16
NA;Triflouridin_Tipiracil;-3;drug;white;D;17;D17
NA;Staurosporine_5nM;NA;PosCTRL;black;D;18;D18
NA;Vismodegib;-9;drug;white;D;19;D19
NA;Paclitaxel;9;drug;black;D;20;D20
NA;Triflouridin_Tipiracil;9;drug;white;D;21;D21
NA;Gefitinib;9;drug;black;D;22;D22
NA;FOLFIRI;1;drug;white;D;23;D23
NA;Staurosporine_50nM;NA;PosCTRL;black;D;24;D24
NA;Staurosporine_50nM;NA;PosCTRL;black;E;1;E01
NA;5-FU;1;drug;white;E;2;E02
NA;Bleomycin;1;drug;black;E;3;E03
NA;DMSO;NA;NegCTRL;white;E;4;E04
NA;Palbociclib;-3;drug;black;E;5;E05
NA;FOLFOX;3;drug;white;E;6;E06
NA;Trastuzumab;9;drug;black;E;7;E07
NA;Staurosporine_50nM;NA;PosCTRL;white;E;8;E08
NA;Palbociclib;3;drug;black;E;9;E09
NA;DMSO;NA;NegCTRL;white;E;10;E10
NA;Triflouridin_Tipiracil;-3;drug;black;E;11;E11
NA;Cetuximab;-3;drug;white;E;12;E12
NA;DMSO;NA;NegCTRL;black;E;13;E13
NA;Everolimus;-9;drug;white;E;14;E14
NA;Vismodegib;-3;drug;black;E;15;E15
NA;DMSO;NA;NegCTRL;white;E;16;E16
NA;Olaparib;1;drug;black;E;17;E17
NA;FOLFIRI;-9;drug;white;E;18;E18
NA;Sunitinib;3;drug;black;E;19;E19
NA;Triflouridin_Tipiracil;3;drug;white;E;20;E20
NA;Gemcitabine;3;drug;black;E;21;E21
NA;Etoposid;3;drug;white;E;22;E22
NA;Panobinostat;9;drug;black;E;23;E23
NA;Palbociclib;9;drug;white;E;24;E24
NA;Panobinostat;-3;drug;white;F;1;F01
NA;5-FU;-3;drug;black;F;2;F02
NA;Trastuzumab;3;drug;white;F;3;F03
NA;Sunitinib;9;drug;black;F;4;F04
NA;Staurosporine_500nM;NA;PosCTRL;white;F;5;F05
NA;Vismodegib;1;drug;black;F;6;F06
NA;Dabrafenib_Trametinib;3;drug;white;F;7;F07
NA;Cetuximab;3;drug;black;F;8;F08
NA;Staurosporine_50nM;NA;PosCTRL;white;F;9;F09
NA;Gefitinib;1;drug;black;F;10;F10
NA;Olaparib;-3;drug;white;F;11;F11
NA;Everolimus;1;drug;black;F;12;F12
NA;Vismodegib;9;drug;white;F;13;F13
NA;Staurosporine_500nM;NA;PosCTRL;black;F;14;F14
NA;Trastuzumab;3;drug;white;F;15;F15
NA;FOLFIRI;3;drug;black;F;16;F16
NA;Palbociclib;-3;drug;white;F;17;F17
NA;Trastuzumab;9;drug;black;F;18;F18
NA;Palbociclib;-3;drug;white;F;19;F19
NA;5-FU;3;drug;black;F;20;F20
NA;Vismodegib;-3;drug;white;F;21;F21
NA;Vismodegib;-9;drug;black;F;22;F22
NA;Olaparib;9;drug;white;F;23;F23
NA;Bleomycin;3;drug;black;F;24;F24
NA;Trastuzumab;1;drug;black;G;1;G01
NA;Olaparib;1;drug;white;G;2;G02
NA;Paclitaxel;1;drug;black;G;3;G03
NA;DMSO;NA;NegCTRL;white;G;4;G04
NA;H2O;NA;NegCTRL;black;G;5;G05
NA;Trastuzumab;9;drug;white;G;6;G06
NA;Cetuximab;-3;drug;black;G;7;G07
NA;Crizotinib;-9;drug;white;G;8;G08
NA;Triflouridin_Tipiracil;9;drug;black;G;9;G09
NA;Staurosporine_5nM;NA;PosCTRL;white;G;10;G10
NA;DMSO;NA;NegCTRL;black;G;11;G11
NA;Cetuximab;9;drug;white;G;12;G12
NA;Etoposid;-3;drug;black;G;13;G13
NA;Triflouridin_Tipiracil;1;drug;white;G;14;G14
NA;Olaparib;9;drug;black;G;15;G15
NA;Paclitaxel;3;drug;white;G;16;G16
NA;Etoposid;1;drug;black;G;17;G17
NA;LGK974_1uM;NA;PosCTRL;white;G;18;G18
NA;Crizotinib;9;drug;black;G;19;G19
NA;Triflouridin_Tipiracil;-9;drug;white;G;20;G20
NA;Etoposid;-9;drug;black;G;21;G21
NA;Everolimus;3;drug;white;G;22;G22
NA;H2O;NA;NegCTRL;black;G;23;G23
NA;DMSO;NA;NegCTRL;white;G;24;G24
NA;Trastuzumab;-9;drug;white;H;1;H01
NA;FOLFOX;9;drug;black;H;2;H02
NA;Olaparib;1;drug;white;H;3;H03
NA;Paclitaxel;-3;drug;black;H;4;H04
NA;Bleomycin;3;drug;white;H;5;H05
NA;H2O;NA;NegCTRL;black;H;6;H06
NA;Dabrafenib_Trametinib;-9;drug;white;H;7;H07
NA;Staurosporine_500nM;NA;PosCTRL;black;H;8;H08
NA;Olaparib;-9;drug;white;H;9;H09
NA;Crizotinib;3;drug;black;H;10;H10
NA;Palbociclib;-9;drug;white;H;11;H11
NA;Palbociclib;3;drug;black;H;12;H12
NA;H2O;NA;NegCTRL;white;H;13;H13
NA;Bleomycin;-9;drug;black;H;14;H14
NA;DMSO;NA;NegCTRL;white;H;15;H15
NA;Staurosporine_5nM;NA;PosCTRL;black;H;16;H16
NA;Panobinostat;1;drug;white;H;17;H17
NA;Everolimus;3;drug;black;H;18;H18
NA;Bleomycin;1;drug;white;H;19;H19
NA;Triflouridin_Tipiracil;1;drug;black;H;20;H20
NA;Cetuximab;1;drug;white;H;21;H21
NA;Staurosporine_50nM;NA;PosCTRL;black;H;22;H22
NA;Vismodegib;1;drug;white;H;23;H23
NA;Gefitinib;-9;drug;black;H;24;H24
NA;Dabrafenib_Trametinib;-9;drug;black;I;1;I01
NA;H2O;NA;NegCTRL;white;I;2;I02
NA;Bleomycin;-3;drug;black;I;3;I03
NA;Palbociclib;9;drug;white;I;4;I04
NA;DMSO;NA;NegCTRL;black;I;5;I05
NA;Etoposid;3;drug;white;I;6;I06
NA;Gefitinib;3;drug;black;I;7;I07
NA;Staurosporine_500nM;NA;PosCTRL;white;I;8;I08
NA;Paclitaxel;-9;drug;black;I;9;I09
NA;Panobinostat;-9;drug;white;I;10;I10
NA;Triflouridin_Tipiracil;3;drug;black;I;11;I11
NA;Cetuximab;1;drug;white;I;12;I12
NA;FOLFIRI;-3;drug;black;I;13;I13
NA;FOLFOX;-3;drug;white;I;14;I14
NA;Olaparib;3;drug;black;I;15;I15
NA;H2O;NA;NegCTRL;white;I;16;I16
NA;Irinotecan;1;drug;black;I;17;I17
NA;Panobinostat;1;drug;white;I;18;I18
NA;Irinotecan;-9;drug;black;I;19;I19
NA;FOLFIRI;3;drug;white;I;20;I20
NA;Vismodegib;3;drug;black;I;21;I21
NA;H2O;NA;NegCTRL;white;I;22;I22
NA;Gefitinib;-9;drug;black;I;23;I23
NA;Irinotecan;3;drug;white;I;24;I24
NA;Gefitinib;-9;drug;white;J;1;J01
NA;LGK974_1uM;NA;PosCTRL;black;J;2;J02
NA;Gemcitabine;3;drug;white;J;3;J03
NA;5-FU;1;drug;black;J;4;J04
NA;FOLFOX;1;drug;white;J;5;J05
NA;FOLFOX;-9;drug;black;J;6;J06
NA;Bleomycin;-9;drug;white;J;7;J07
NA;FOLFOX;9;drug;black;J;8;J08
NA;Triflouridin_Tipiracil;-3;drug;white;J;9;J09
NA;Olaparib;-9;drug;black;J;10;J10
NA;LGK974_1uM;NA;PosCTRL;white;J;11;J11
NA;FOLFOX;3;drug;black;J;12;J12
NA;FOLFOX;3;drug;white;J;13;J13
NA;Cetuximab;-9;drug;black;J;14;J14
NA;Trastuzumab;1;drug;white;J;15;J15
NA;Panobinostat;9;drug;black;J;16;J16
NA;H2O;NA;NegCTRL;white;J;17;J17
NA;Dabrafenib_Trametinib;-3;drug;black;J;18;J18
NA;Dabrafenib_Trametinib;1;drug;white;J;19;J19
NA;Bleomycin;3;drug;black;J;20;J20
NA;Staurosporine_5nM;NA;PosCTRL;white;J;21;J21
NA;Sunitinib;-3;drug;black;J;22;J22
NA;Irinotecan;-3;drug;white;J;23;J23
NA;Sunitinib;-3;drug;black;J;24;J24
NA;Everolimus;-3;drug;black;K;1;K01
NA;FOLFOX;9;drug;white;K;2;K02
NA;Olaparib;3;drug;black;K;3;K03
NA;Palbociclib;1;drug;white;K;4;K04
NA;Panobinostat;1;drug;black;K;5;K05
NA;LGK974_1uM;NA;PosCTRL;white;K;6;K06
NA;Triflouridin_Tipiracil;9;drug;black;K;7;K07
NA;Dabrafenib_Trametinib;9;drug;white;K;8;K08
NA;H2O;NA;NegCTRL;black;K;9;K09
NA;Gefitinib;-3;drug;white;K;10;K10
NA;DMSO;NA;NegCTRL;black;K;11;K11
NA;FOLFIRI;-3;drug;white;K;12;K12
NA;Cetuximab;1;drug;black;K;13;K13
NA;Gefitinib;3;drug;white;K;14;K14
NA;DMSO;NA;NegCTRL;black;K;15;K15
NA;LGK974_1uM;NA;PosCTRL;white;K;16;K16
NA;Palbociclib;9;drug;black;K;17;K17
NA;Etoposid;-3;drug;white;K;18;K18
NA;Crizotinib;-3;drug;black;K;19;K19
NA;Vismodegib;9;drug;white;K;20;K20
NA;Trastuzumab;-9;drug;black;K;21;K21
NA;5-FU;-9;drug;white;K;22;K22
NA;Dabrafenib_Trametinib;-3;drug;black;K;23;K23
NA;Dabrafenib_Trametinib;9;drug;white;K;24;K24
NA;FOLFOX;-9;drug;white;L;1;L01
NA;Irinotecan;9;drug;black;L;2;L02
NA;Trastuzumab;-3;drug;white;L;3;L03
NA;Gemcitabine;-3;drug;black;L;4;L04
NA;Bleomycin;-9;drug;white;L;5;L05
NA;Paclitaxel;-9;drug;black;L;6;L06
NA;Gemcitabine;-3;drug;white;L;7;L07
NA;Etoposid;-3;drug;black;L;8;L08
NA;H2O;NA;NegCTRL;white;L;9;L09
NA;Staurosporine_5nM;NA;PosCTRL;black;L;10;L10
NA;Trastuzumab;-9;drug;white;L;11;L11
NA;5-FU;3;drug;black;L;12;L12
NA;DMSO;NA;NegCTRL;white;L;13;L13
NA;Triflouridin_Tipiracil;3;drug;black;L;14;L14
NA;Olaparib;-3;drug;white;L;15;L15
NA;DMSO;NA;NegCTRL;black;L;16;L16
NA;Sunitinib;9;drug;white;L;17;L17
NA;LGK974_1uM;NA;PosCTRL;black;L;18;L18
NA;H2O;NA;NegCTRL;white;L;19;L19
NA;Vismodegib;3;drug;black;L;20;L20
NA;Irinotecan;-9;drug;white;L;21;L21
NA;Everolimus;-9;drug;black;L;22;L22
NA;H2O;NA;NegCTRL;white;L;23;L23
NA;H2O;NA;NegCTRL;black;L;24;L24
NA;DMSO;NA;NegCTRL;black;M;1;M01
NA;DMSO;NA;NegCTRL;white;M;2;M02
NA;Panobinostat;3;drug;black;M;3;M03
NA;Everolimus;3;drug;white;M;4;M04
NA;Triflouridin_Tipiracil;1;drug;black;M;5;M05
NA;Cetuximab;9;drug;white;M;6;M06
NA;Dabrafenib_Trametinib;-9;drug;black;M;7;M07
NA;Crizotinib;-3;drug;white;M;8;M08
NA;Palbociclib;1;drug;black;M;9;M09
NA;Etoposid;9;drug;white;M;10;M10
NA;Gemcitabine;3;drug;black;M;11;M11
NA;Paclitaxel;3;drug;white;M;12;M12
NA;5-FU;1;drug;black;M;13;M13
NA;DMSO;NA;NegCTRL;white;M;14;M14
NA;Olaparib;-9;drug;black;M;15;M15
NA;5-FU;9;drug;white;M;16;M16
NA;Triflouridin_Tipiracil;-9;drug;black;M;17;M17
NA;Gefitinib;9;drug;white;M;18;M18
NA;Dabrafenib_Trametinib;9;drug;black;M;19;M19
NA;Etoposid;9;drug;white;M;20;M20
NA;Vismodegib;-9;drug;black;M;21;M21
NA;Staurosporine_5nM;NA;PosCTRL;white;M;22;M22
NA;DMSO;NA;NegCTRL;black;M;23;M23
NA;Gefitinib;3;drug;white;M;24;M24
NA;5-FU;9;drug;white;N;1;N01
NA;Gemcitabine;1;drug;black;N;2;N02
NA;Gefitinib;1;drug;white;N;3;N03
NA;Palbociclib;-9;drug;black;N;4;N04
NA;DMSO;NA;NegCTRL;white;N;5;N05
NA;Gemcitabine;-9;drug;black;N;6;N06
NA;Gefitinib;9;drug;white;N;7;N07
NA;FOLFOX;-3;drug;black;N;8;N08
NA;FOLFOX;1;drug;white;N;9;N09
NA;Irinotecan;3;drug;black;N;10;N10
NA;Everolimus;9;drug;white;N;11;N11
NA;Crizotinib;9;drug;black;N;12;N12
NA;Everolimus;-3;drug;white;N;13;N13
NA;H2O;NA;NegCTRL;black;N;14;N14
NA;Etoposid;-9;drug;white;N;15;N15
NA;Bleomycin;-3;drug;black;N;16;N16
NA;Irinotecan;9;drug;white;N;17;N17
NA;Vismodegib;9;drug;black;N;18;N18
NA;Panobinostat;9;drug;white;N;19;N19
NA;Etoposid;9;drug;black;N;20;N20
NA;Paclitaxel;-3;drug;white;N;21;N21
NA;Sunitinib;1;drug;black;N;22;N22
NA;5-FU;-9;drug;white;N;23;N23
NA;H2O;NA;NegCTRL;black;N;24;N24
NA;Paclitaxel;3;drug;black;O;1;O01
NA;Everolimus;-3;drug;white;O;2;O02
NA;Staurosporine_5nM;NA;PosCTRL;black;O;3;O03
NA;H2O;NA;NegCTRL;white;O;4;O04
NA;H2O;NA;NegCTRL;black;O;5;O05
NA;Bleomycin;9;drug;white;O;6;O06
NA;FOLFOX;1;drug;black;O;7;O07
NA;Triflouridin_Tipiracil;-9;drug;white;O;8;O08
NA;Trastuzumab;1;drug;black;O;9;O09
NA;Cetuximab;3;drug;white;O;10;O10
NA;Everolimus;-9;drug;black;O;11;O11
NA;Etoposid;1;drug;white;O;12;O12
NA;FOLFIRI;9;drug;black;O;13;O13
NA;Etoposid;-9;drug;white;O;14;O14
NA;Crizotinib;3;drug;black;O;15;O15
NA;DMSO;NA;NegCTRL;white;O;16;O16
NA;H2O;NA;NegCTRL;black;O;17;O17
NA;Irinotecan;-9;drug;white;O;18;O18
NA;Etoposid;1;drug;black;O;19;O19
NA;Crizotinib;-3;drug;white;O;20;O20
NA;LGK974_1uM;NA;PosCTRL;black;O;21;O21
NA;Sunitinib;-3;drug;white;O;22;O22
NA;Crizotinib;1;drug;black;O;23;O23
NA;Panobinostat;3;drug;white;O;24;O24
NA;Cetuximab;-9;drug;white;P;1;P01
NA;DMSO;NA;NegCTRL;black;P;2;P02
NA;Panobinostat;-9;drug;white;P;3;P03
NA;Cetuximab;3;drug;black;P;4;P04
NA;FOLFOX;-3;drug;white;P;5;P05
NA;DMSO;NA;NegCTRL;black;P;6;P06
NA;Sunitinib;-9;drug;white;P;7;P07
NA;Palbociclib;-9;drug;black;P;8;P08
NA;Sunitinib;1;drug;white;P;9;P09
NA;FOLFOX;-9;drug;black;P;10;P10
NA;Sunitinib;-9;drug;white;P;11;P11
NA;5-FU;9;drug;black;P;12;P12
NA;Staurosporine_50nM;NA;PosCTRL;white;P;13;P13
NA;Cetuximab;9;drug;black;P;14;P14
NA;H2O;NA;NegCTRL;white;P;15;P15
NA;FOLFIRI;-9;drug;black;P;16;P16
NA;FOLFIRI;-3;drug;white;P;17;P17
NA;DMSO;NA;NegCTRL;black;P;18;P18
NA;Everolimus;1;drug;white;P;19;P19
NA;Crizotinib;-9;drug;black;P;20;P20
NA;Crizotinib;9;drug;white;P;21;P21
NA;Paclitaxel;9;drug;black;P;22;P22
NA;H2O;NA;NegCTRL;white;P;23;P23
NA;DMSO;NA;NegCTRL;black;P;24;P24
